carrier_norm,route,trip_count,total_exposure,avg_exposure_per_trip,unique_vehicles,unique_driver_fp,carrier_total_exposure,route_share_of_carrier_exposure_pct,route_share_of_total_exposure_pct
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Nalgonda,13,156975236.0,12075018.153846154,11,0,600886787.0,26.12,14.88
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Surat,16,115220472.0,7201279.5,14,0,600886787.0,19.18,10.92
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Visakhapatnam,5,67856844.0,13571368.8,4,0,600886787.0,11.29,6.43
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Bangalore,6,52196346.0,8699391.0,6,0,600886787.0,8.69,4.95
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → East Godavari,4,41106002.0,10276500.5,3,0,600886787.0,6.84,3.9
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Jaipur,2,35879316.0,17939658.0,2,0,99004610.0,36.24,3.4
YATAYAT CORPORATION OF INDIA,Vadodara → South West Delhi,2,33423276.0,16711638.0,2,0,145966568.0,22.9,3.17
PREMIER ROAD CARRIERS LIMITED,Vadodara → Bangalore,3,32222850.0,10740950.0,3,0,32222850.0,100.0,3.05
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → Cuttack,2,31152000.0,15576000.0,2,0,600886787.0,5.18,2.95
RAVINDER SINGH,Vadodara → Raigarh(MH),2,30528957.0,15264478.5,2,0,70782533.0,43.13,2.89
SHYAMSUNDER BHIMSAIN GOYAL,Vadodara → South West Delhi,2,29698240.0,14849120.0,2,0,600886787.0,4.94,2.81
INLAND WORLD LOGISTICS PRIVATE LIMITED,Vadodara → Bharuch,2,27280000.0,13640000.0,2,0,99004610.0,27.55,2.59
SURAT GOODS TRANSPORT PVT LTD,Vadodara → Bharuch,2,26284500.0,13142250.0,2,0,26284500.0,100.0,2.49
YATAYAT CORPORATION OF INDIA,Vadodara → Thane,3,21842744.0,7280914.666666667,3,0,145966568.0,14.96,2.07
