consignee_norm,carrier_norm,trips,total_exposure,avg_exposure,unique_routes
DIVI S LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,10,126549808.0,12654980.8,3
KARTIK REFRIGERATION PRIVATE LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,16,115220472.0,7201279.5,1
DIVIS LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,6,65034002.0,10839000.333333334,2
BANGALORE METRO RAIL CORPORATION LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,6,52196346.0,8699391.0,1
VOLTAS LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,6,52043310.0,8673885.0,3
DELHI INTERNATIONAL AIRPORT LIMITED,YATAYAT CORPORATION OF INDIA,2,33423276.0,16711638.0,1
KMV PROJECTS LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,2,32450000.0,16225000.0,1
BANGALORE METRO RAIL CORPORATION LIMITED,PREMIER ROAD CARRIERS LIMITED,3,32222850.0,10740950.0,1
BLUE JET HEALTHCARE LIMITED,RAVINDER SINGH,2,30528957.0,15264478.5,1
CEMINDIA PROJECTS LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,2,29698240.0,14849120.0,1
SHRI KALYAN BUILDMART PRIVATE LIMITED,INLAND WORLD LOGISTICS PRIVATE LIMITED,1,29594400.0,29594400.0,1
RENAATUS PROJECTS PRIVATE LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,3,29231898.0,9743966.0,1
AARTI INDUSTRIES LIMITED,INLAND WORLD LOGISTICS PRIVATE LIMITED,2,27280000.0,13640000.0,1
SRF LIMITED,SURAT GOODS TRANSPORT PVT LTD,2,26284500.0,13142250.0,1
VOLTAS LIMITED,YATAYAT CORPORATION OF INDIA,3,22973639.0,7657879.666666667,3
AIRPORTS AUTHORITY OF INDIA,EITA INDIA LIMITED,2,21287199.0,10643599.5,1
LUPIN LIMITED,YATAYAT CORPORATION OF INDIA,2,18756100.0,9378050.0,1
GREEN LEAF CHEM TECH PRIVATE LIMITED,YATAYAT CORPORATION OF INDIA,2,17912400.0,8956200.0,1
KMV PROJECTS LIMITED,RAVINDER SINGH,1,15835600.0,15835600.0,1
ADVANCE VENTILATION PRIVATE LIMITED,INLAND WORLD LOGISTICS PRIVATE LIMITED,2,13109800.0,6554900.0,1
NEULAND LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,1,12726890.0,12726890.0,1
DIVIS LABORATORIES LTD,SHYAMSUNDER BHIMSAIN GOYAL,1,12672374.0,12672374.0,1
GROB MACHINE TOOLS INDIA PRIVATE LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,2,12408880.0,6204440.0,1
MORIROKU TECHNOLOGY INDIA PRIVATE LIMITED,ADHUNIK TRANSPORT ORGANISATION LIMITED,2,12201200.0,6100600.0,1
VOLTAS LIMITED,RAVINDER SINGH,3,11097900.0,3699300.0,1
PRIVI SPECIALITY CHEMICALS LIMITED,YATAYAT CORPORATION OF INDIA,1,9663610.0,9663610.0,1
VOLTAS LIMITED,NAVEEN S DADHICH,2,9319640.0,4659820.0,1
SARAVANA STORES CELEBRITY PRIVATE LIMITED,NAVEEN S DADHICH,3,9150900.0,3050300.0,2
TRENT HYPERMARKET PRIVATE LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,1,8923750.0,8923750.0,1
BHARAT PETROLEUM CORPORATION LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,2,8833150.0,4416575.0,1
SRF LIMITED,Surat Goods transport,1,8761500.0,8761500.0,1
COROMANDEL INTERNATIONAL LIMITED,CHAUHAN PRADEEPSINH,1,8664150.0,8664150.0,1
WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED,YATAYAT CORPORATION OF INDIA,1,8437000.0,8437000.0,1
