consignee_norm,trips,total_exposure,avg_exposure,unique_routes,unique_carriers
DIVI S LABORATORIES LIMITED,10,126549808.0,12654980.8,3,1
KARTIK REFRIGERATION PRIVATE LIMITED,17,122376216.0,7198600.94117647,1,2
VOLTAS LIMITED,14,95434489.0,6816749.214285715,6,4
BANGALORE METRO RAIL CORPORATION LIMITED,9,84419196.0,9379910.666666666,1,2
DIVIS LABORATORIES LIMITED,6,65034002.0,10839000.333333334,2,1
KMV PROJECTS LIMITED,4,56203400.0,14050850.0,2,3
SRF LIMITED,3,35046000.0,11682000.0,2,2
DELHI INTERNATIONAL AIRPORT LIMITED,2,33423276.0,16711638.0,1,1
BLUE JET HEALTHCARE LIMITED,2,30528957.0,15264478.5,1,1
CEMINDIA PROJECTS LIMITED,2,29698240.0,14849120.0,1,1
SHRI KALYAN BUILDMART PRIVATE LIMITED,1,29594400.0,29594400.0,1,1
RENAATUS PROJECTS PRIVATE LIMITED,3,29231898.0,9743966.0,1,1
AARTI INDUSTRIES LIMITED,2,27280000.0,13640000.0,1,1
AIRPORTS AUTHORITY OF INDIA,2,21287199.0,10643599.5,1,1
LUPIN LIMITED,2,18756100.0,9378050.0,1,1
GREEN LEAF CHEM TECH PRIVATE LIMITED,2,17912400.0,8956200.0,1,1
WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED,3,16354800.0,5451600.0,2,2
ADVANCE VENTILATION PRIVATE LIMITED,2,13109800.0,6554900.0,1,1
NEULAND LABORATORIES LIMITED,1,12726890.0,12726890.0,1,1
DIVIS LABORATORIES LTD,1,12672374.0,12672374.0,1,1
GROB MACHINE TOOLS INDIA PRIVATE LIMITED,2,12408880.0,6204440.0,1,1
MORIROKU TECHNOLOGY INDIA PRIVATE LIMITED,2,12201200.0,6100600.0,1,1
PRIVI SPECIALITY CHEMICALS LIMITED,1,9663610.0,9663610.0,1,1
SARAVANA STORES CELEBRITY PRIVATE LIMITED,3,9150900.0,3050300.0,2,1
TRENT HYPERMARKET PRIVATE LIMITED,1,8923750.0,8923750.0,1,1
BHARAT PETROLEUM CORPORATION LIMITED,2,8833150.0,4416575.0,1,1
COROMANDEL INTERNATIONAL LIMITED,1,8664150.0,8664150.0,1,1
COMMSCOPE INDIA PRIVATE LIMITED,1,7833430.0,7833430.0,1,1
PATSON TECHNO SOLUTIONS PRIVATE LIMITED,2,7749060.0,3874530.0,1,1
SKAI AIR CONTROL PRIVATE LIMITED,3,7745166.0,2581722.0,1,1
TATA ADVANCED SYSTEMS LIMITED,1,7560850.0,7560850.0,1,1
GRANDE PALLADIUM CONDOMINIUM,1,7268800.0,7268800.0,1,1
SUPERMAX LABORATORIES,1,6619800.0,6619800.0,1,1
PIRAMAL FINANCE LIMITED,1,6284916.0,6284916.0,1,1
TRENT LIMITED,1,6051276.0,6051276.0,1,1
SHINRYO SUVIDHA ENGINEERS INDIA PRIVATE LIMITED,1,5192000.0,5192000.0,1,1
REFAIR INDIA PRIVATE LIMITED,2,4750680.0,2375340.0,1,1
SHREE RAJASTHAN SYNTEX LIMITED,1,4731210.0,4731210.0,1,1
ALBERT DAVID LIMITED,1,4506721.0,4506721.0,1,1
SGS INFRATECH LIMITED,1,4144379.0,4144379.0,1,1
LAXMIPURA VENKATACHALAIAH UMESH,1,3932940.0,3932940.0,1,1
MAKSON HEALTHCARE PRIVATE LIMITED,1,3881020.0,3881020.0,1,1
SYSTEMATIC CONSCOM LIMITED,1,3569500.0,3569500.0,1,1
INSOLATION GREEN ENERGY PRIVATE LIMITED,1,3504600.0,3504600.0,1,1
BRIGADE TECH PARK,1,3428207.0,3428207.0,1,1
NUCLEAR POWER CORPORATIONOF INDIA LTD,1,3086644.0,3086644.0,1,1
MILKY MIST DAIRY FOOD LIMITED,1,3005894.0,3005894.0,1,1
SHEETAL ENGINEERING,1,2784210.0,2784210.0,1,1
