SR_No,Survey Registered Date,Survey ID,Mode of Survey,Survey Location,Survey Type,Survey Subtype,LR No,LR Date,Vehicle Number,Other Vehicle Numbers,Vehicle Gross Weight (Kg),Vehicle Tare Weight (Kg),UOM,Cargo Length,Cargo Breadth,Cargo Height,Cargo Weight (Kg),Gross Weight (KG),Unit of Qty,Product Qty,Unit Rate,Tax Rate,Gross Total,Invoice Date,Invoice Value,Sum Assured,Consignor GSTIN,Consignor Name,Consignor City,Consignor State,Consignee GSTIN,Consignee Name,Consignee City,Consignee State,Insurer GSTIN,Insurer Name,Insurer City,Insurer State,Carrier GSTIN,Carrier Name,Carrier City,Carrier State,Shipped From,Shipped To,Weather at Loading Port,Weather at Destination Port,External Packaging Detail,Internal Packaging Detail,Other Packaging Detail,Marks and Numbers (Container/Conveyance),Marks and Numbers (Cargo),Package Observation (Container/Conveyance),Package Observation (Cargo),Lashing (Cargo),Dunnage and Chocking (Cargo),Damages and Other Observation (Container),Damages and Other Observation (Cargo),Invoice and Packing List,Copy of L/R or Delivery Challan,Copy of E-way Bill,Copy of Vehicle Registration Certificate,Copy of Vehicle Fitness Certificate,Date of Factory Stuffing,Date of Cargo expected to leave,Date of L/R (anticipated),Survey Completed Date,Status,Survey Done By,source,Exposure_Value,Delay_Days,Route,Delay_LR_minus_Stuffing,Delay_Stuffing_minus_LR,Delay_Abs_Days,HSN2,from_lat,from_lon,to_lat,to_lon,distance_km,is_intracity,distance_usable,invoice_value,gross_total,sum_assured,exposure_value,eWayBill,eWayBill_12,eWayBillDate,ewaybill_is_valid_12,ewaybill_digits,origin_city,destination_city,route,origin_lat,origin_lon,dest_lat,dest_lon,dispatch_date,arrival_date,delay_days,consignor,consignee,carrier,client_tag,source_file,pipeline_version,run_date,Driver License No,Driver DOB,Driver Mobile No,HSN Code,Product Model No,Product Description,Consignor Address,Consignor Pincode,Consignee Address,Consignee Pincode,Insurer Address,Insurer Pincode,Carrier Address,Carrier PIN
1,2025-08-05,V2CSSRY100921,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,,,0,0,METER,,,,,"19,500",Numbers,3,"2,28,00,000",18.0,,2025-08-05,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,,,,,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,,,,,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: ,  Other Vehicle Numbers: ,  Container : ",,"Vehicle Number: ,  Other Vehicle Numbers: ,  Container : ",,,,Flatbed trailer,,Yes,Yes,Yes,Yes,Yes,2025-08-09,2025-08-10,2025-08-12,2025-08-05 05:46:25 PM,Approved,voltas,,,,,,,,,,,,,,,,"8,07,12,000","8,07,12,000","8,87,83,200",,,,2025-08-05,False,,,,,,,,,,,,VOLTAS LIMITED,,VOLTAS LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,,2025-08-05 12:17:03,,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,,,Bank Street    34/38  Fort,400023.0,,
2,2025-08-07,V2CSSRY100924,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,RJ01GB4967,,"45,500","11,200",FT,8.0,8.0,8.0,"19,500","19,500",Numbers,3,"76,00,000",18.0,,2025-08-06,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,08AAKCS1090B1ZK,,Jaipur,Rajasthan,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AAACI5607C1Z5,,Ahmedabad,Gujarat,,,normal,normal,Loose/Unpacked,,,"Vehicle Number: RJ01GB4967,  Other Vehicle Numbers: ,  Container : Flatbed trailer","Serial No.: W250000406,W250000508,W250000608","Vehicle Number: RJ01GB4967,  Other Vehicle Numbers: ,  Container : Flatbed trailer",Hard welded brackets each package 8 nos each (total 24).  ,Cross Chain lashing - 4 Nos and Nylon Belts lashing - 8 Nos.. Both shifting of cargo and tipping of cargo taken care of. ,wooden planks and wooden battons inserted in between cargo and dents on trailer. each package hard lashed to trailer using welded L angles on 8 sides. ,"Flatbed trailer. centre and aft side found with dents, bend and uneven floor. ",Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-08-06,2025-08-07,2025-08-06,2025-08-07 12:46:46 PM,Approved,voltas,,,,,,,,,,,,,,,,"2,69,04,000","2,69,04,000","2,95,94,400",,691949262653.0,,2025-08-06,False,6919492626530,Vadodara,Jaipur,,,,,,,,,VOLTAS LIMITED,SHRI KALYAN BUILDMART PRIVATE LIMITED,INLAND WORLD LOGISTICS PRIVATE LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ0120040066784,1984-07-31 18:30:00,9799423939.0,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,RAM LAL JI KA RASTA    2339  JOHARI BAZAR,302020.0,Bank Street    34/38  Fort,400023.0,"Ved Mandir Road, Kankaria    7A  Ahmedabad",380022.0
3,2025-08-12,V2CSSRY100926,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,GJ06ZZ0540,,"12,990","4,750",FT,8.0,8.0,8.0,"30,000","12,990",Numbers,1,"69,00,000",18.0,,2025-08-07,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,24AAICG2623G1ZX,,Bharuch,Gujarat,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AABFY0533F1ZL,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: GJ06ZZ0540,  Other Vehicle Numbers: ,  Container : truck",Serial No.: W250000108,"Vehicle Number: GJ06ZZ0540,  Other Vehicle Numbers: ,  Container : Flatbed trailer",cargo wrapped in poly film / tarpaulin and then lashed,2 nos nylon belts. further with nylon ropes and hard lashed (welded L angles) at various places,welded hard lashing for arresting shifting,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-08-08,2025-08-08,2025-08-08,2025-08-12 06:23:31 PM,Completed,voltas,,,,,,,,,,,,,,,,"81,42,000","81,42,000","89,56,200",,671950323688.0,,2025-08-07,False,6719503236880,Vadodara,Bharuch,,,,,,,,,VOLTAS LIMITED,GREEN LEAF CHEM TECH PRIVATE LIMITED,YATAYAT CORPORATION OF INDIA,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,UP6519860024262,1966-01-01 18:30:00,9999999999.0,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,"Unnamed Road    D-2/CH/231, D-2-CH-232, D-2/CH/272  Dahej SIR",392130.0,Bank Street    34/38  Fort,400023.0,VEDMANDIR ROAD    7/A  KANKARIA,380022.0
5,2025-08-12,V2CSSRY100927,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,RJ47GA2963,,"18,500","5,810",FT,8.0,8.0,8.0,"10,000","18,500",Numbers,1,"34,72,050",18.0,,2025-08-07,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,19AACCA3933D1ZZ,,Kolkata,West Bengal,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: RJ47GA2963,  Other Vehicle Numbers: ,  Container : Flatbed trailer",Serial No.: W250000108,"Vehicle Number: RJ47GA2963,  Other Vehicle Numbers: ,  Container : Flatbed trailer",cargo covered in tarpaulin / poly sheets ,Nylon rope lashings plus belt lashings,hard lashed and welded for shifting ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-08-08,2025-08-08,2025-08-08,2025-08-12 06:25:43 PM,Approved,voltas,,,,,,,,,,,,,,,,"40,97,019","40,97,019","45,06,721",,641950532946.0,,2025-08-07,False,6419505329460,Vadodara,Kolkata,,,,,,,,,VOLTAS LIMITED,ALBERT DAVID LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ0120130206007,1993-06-05 18:30:00,9999999999.0,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,8 N.S.ROAD  3RD FLOOR  BLOCK D  KOLKATA,700001.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0
4,2025-08-13,V2CSSRY100930,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH40BG8682,,"18,500","6,200",METER,8.0,8.0,8.0,"13,000","13,000",Numbers,1,"56,00,000",18.0,,2025-08-08,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,27AACAG0969R1Z1,,Mumbai,Maharashtra,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24CUOPS2908D1ZJ,,Vadodara,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH23AU1941,  Other Vehicle Numbers: ,  Container : ",Serial No.: w250000108,"Vehicle Number: MH23AU1941,  Other Vehicle Numbers: ,  Container : ",cargo stretch wrapped and further in tarpaulin,3 nos nylon belts and hard lashed,no dunnages used. ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-08-08,2025-08-08,2025-08-08,2025-08-13 01:27:48 PM,Approved,voltas,,,,,,,,,,,,,,,,"66,08,000","66,08,000","72,68,800",,641950566619.0,,2025-08-07,False,6419505666190,Vadodara,Mumbai,,,,,,,,,VOLTAS LIMITED,GRANDE PALLADIUM CONDOMINIUM,RAVINDER SINGH,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,UP7220180007366,1998-07-09 18:30:00,9999999999.0,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,"CST ROAD, KALINA  GROUND FLOOR  175  SANTACRUZ EAST, MUMBAI",400098.0,Bank Street    34/38  Fort,400023.0,KARELIBAUG  3RD FLOOR  26  Vadodara,390019.0
6,2025-08-14,V2CSSRY100932,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,GJ23Y7074,,"16,200","6,000",FT,8.0,8.0,8.0,"30,000","16,200",Numbers,1,"55,12,900",18.0,,2025-08-14,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,24AAKCK4535F1ZM,,Surat,Gujarat,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,VAPI,GUJARAT,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: GJ23Y7074,  Other Vehicle Numbers: ,  Container : Flatbed trailer",SR NO - W250003407,"Vehicle Number: GJ23Y7074,  Other Vehicle Numbers: ,  Container : Flatbed trailer",WRAPPED IN POLY FILM,,,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,No,No,No,No,No,2025-08-14,2025-08-14,2025-08-14,2025-08-15 12:22:09 PM,Completed,voltas,,,,,,,,,,,,,,,,"65,05,222","65,05,222","71,55,744",,611953184886.0,,2025-08-13,False,6119531848860,Vadodara,Surat,,,,,,,,,VOLTAS LIMITED,KARTIK REFRIGERATION PRIVATE LIMITED,SHIV TRANSPORT ORGANISATION,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,UP8320190000465,1986-02-16 18:30:00,8657542373.0,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,A. K. Road  Ground Floor  Plot No 17-18-19  Surat,395006.0,Bank Street    34/38  Fort,400023.0,GIDC VAPI,396191.0
7,2025-08-21,V2CSSRY100936,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,NL01AL8321,NL01AC8321,"10,000","5,000",METER,6.0,8.0,6.0,"4,000",600,Numbers,50,"1,50,000",18.0,,2025-08-21,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,,,,,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,Mumbai,Maharashtra,24AAACV2809D1ZS,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: NL01AL8321,  Other Vehicle Numbers: NL01AC8321,    Flatbed trailer",,"Vehicle Number: NL01AL8321,  Other Vehicle Numbers: NL01AC8321,    Flatbed trailer",,,,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,No,No,No,No,No,,,,2025-08-21 03:18:20 PM,Approved,voltas,,,,,,,,,,,,,,,,"88,50,000","88,50,000","97,35,000",,331743813300.0,,2024-03-11,False,3317438133000,,Hooghly,,,,,,,,,VOLTAS LIMITED,,VOLTAS LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,TN0220200002391,2025-08-21 09:50:24,9944801662.0,84185000.0,Product Model No,"OTHER FURNITURE (CHESTS, CABINETS, DISPLAY COUNTERS, SHOW-CASES AND THE LIKE) FOR STORAGE AND DISPLAY, INCORPORATING OR FREEZING EQUIPMENT","132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,,,Bank Street    34/38  Fort,400023.0,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0
8,2025-08-22,V2CSSRY100939,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,DN09U9904,,"18,500","5,605",METER,9.8,7.8,9.8,"9,600","11,000",Numbers,1,"94,35,000",0.0,,2025-08-22,,,24AAACV2809D1ZS,,Ahmedabad,Gujarat,36AAACD6745J3ZF,,Nalgonda,Telangana,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,"Entire unit covered with tarpaulin to protect it externally, internally it is packed with shrink wrapping.",Unit Serial Number W25000508,,"Vehicle Number: DN09U9904,  Other Vehicle Numbers: ,    No",,,,Fresh Unit No Damage,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-08-21,2025-08-21,2025-08-21,2025-08-22 10:56:37 AM,Approved,Bhagat,,,,,,,,,,,,,,,,"94,35,000","94,34,998","1,03,78,500",,601956354876.0,,2025-08-20,False,6019563548760,Vadodara,Nalgonda,,,,,,,,,VOLTAS LIMITED,DIVIS LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,000000000,2025-08-23 07:29:09,9999999999.0,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,"132 FEET RING ROAD  3 RD  A-301  BEHIND IOC PETROL PUMP, SATELLITE",380015.0,CHOUTUPPAL Mandal    DIVIS SEZ DEVELOPER  LINGOJIGUDEM Village,508252.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0
9,2025-08-25,V2CSSRY100941,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH46BP8855,,"18,500","7,970",FT,9.6,8.4,9.6,"10,000","10,000",Numbers,1,"90,35,000",0.0,,2025-08-22,,,24AAACV2809D1ZS,,VADODARA,GUJARAT,36AAACD6745J3ZF,,Nalgonda,Telangana,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,MH46BP8855,W25000108 Serial Number of Unit,"Unit Completely Cover with Tarpaulin ,    ",ODC ,Belt -4 Nos used to tie the units - ,Welded done on the frame of the units from both inside and outside position to arrest movement ,No,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-08-23,2025-08-25,2025-08-23,2025-08-25 09:40:39 AM,Approved,Bhagat,,,,,,,,,,,,,,,,"90,35,000","90,35,000","99,38,500",,651957994593.0,,2025-08-22,False,6519579945930,Vadodara,Nalgonda,,,,,,,,,VOLTAS LIMITED,DIVIS LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH2320090010010,1984-03-03 18:30:00,9898279158.0,84186100.0,Product Model No,ACWDX055M30E084YL Dual Mode BCP#Screw Comp##,"Plot No. 1 Siddhi Industrial Infrastucture Park, Near GEB Substation, Opp. Persang Alloys, Waghodia Road, Waghodia , vadodara 391760",391760.0,CHOUTUPPAL Mandal    DIVIS SEZ DEVELOPER  LINGOJIGUDEM Village,508252.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0
10,2025-08-28,V2CSSRY100949,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,DD01AA9817,,"18,500","5,390",FT,9.1,8.4,9.1,"9,500","9,500",Numbers,1,"91,48,000",18.0,,2025-08-28,,,24AAACV2809D1ZS,,VADODARA,Gujarat,37AAACD6745J1ZF,,Visakhapatnam,Andhra Pradesh,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: DD01AA9817,  UNIT SERIAL NUMBER W250000308",,"Vehicle Number: DD01AA9817,  ",,4 BELT USE ,14 VELDING DONE ON BASE FRAME ,NO,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-08-29,2025-08-29,2025-08-29,2025-08-28 04:31:10 PM,Approved,Bhagat,,,,,,,,,,,,,,,,"1,07,94,640","1,07,94,640","1,18,74,104",,631960488889.0,,2025-08-27,False,6319604888890,Vadodara,East Godavari,,,,,,,,,VOLTAS LIMITED,DIVI S LABORATORIES LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH1620080006094,2025-08-28 11:34:28,7507636420.0,84186100.0,Product Model No,HEAT PUMPS OTHER THAN AIR-CONDITIONING MACHINES OF HEADING 8414,SIDDHI INDUSTRIAL PARK WAGHODIA VADODARA ,391760.0,BHEEMUNIPATNAM Mandal    EOU UNIT  VISAKHAPATNAM,531162.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0
